,Country,Year,Total,Temperature,Coal,Oil,Gas,Cement
39,BELGIUM,2002.0,0.0033646881415862924,0.6779661016949152,0.0018864646141346386,0.004645830232777163,0.004348550823543561,0.0012272435424354245
40,BELGIUM,2003.0,0.0034020430692381755,0.4406779661016949,0.0018286325502789309,0.004702852146017052,0.00457559529560246,0.0012027347273472733
41,BELGIUM,2004.0,0.003416423930795247,0.5423728813559322,0.0018609071028133544,0.004701054824099862,0.004574370978441433,0.00116320131201312
42,BELGIUM,2005.0,0.0033316757972908294,0.6440677966101694,0.0017243093925667044,0.00456526717755962,0.004660508614525423,0.0012029327593275933
43,BELGIUM,2006.0,0.0032843206438221847,0.5084745762711864,0.0016672664980040698,0.004486626283034819,0.004627427468071203,0.001275920049200492
44,BELGIUM,2007.0,0.0031925354891676927,0.13559322033898305,0.001522482701061949,0.0043793262617924196,0.004659971185973483,0.0012658560885608855
45,BELGIUM,2008.0,0.003184407138592472,0.6949152542372882,0.0015291812720727416,0.004344387120875752,0.004666884661635196,0.001243350963509635
46,BELGIUM,2009.0,0.0028488330624608007,0.8305084745762712,0.0009912442692760633,0.0040090305551032665,0.004770419814502291,0.0011460442804428045
47,BELGIUM,2010.0,0.003032905927527256,0.06779661016949153,0.0011482943402032816,0.004057853290878142,0.005276020566136945,0.001058829848298483
48,BELGIUM,2011.0,0.002775688290110033,0.9152542372881356,0.001092669731286313,0.003797089716257329,0.004521618508612942,0.0011322476424764248
49,BELGIUM,2012.0,0.0027038315815150126,0.4745762711864407,0.0009856450739423612,0.0037088618356601317,0.0045659414573706696,0.001083471504715047
50,BELGIUM,2013.0,0.0027122133000184036,0.1864406779661017,0.0010024878388556827,0.003693169496258289,0.004613183650026711,0.0010419737597375973
51,BELGIUM,2014.0,0.002556351409813926,0.1864406779661017,0.0009668686515862384,0.0036073800628668713,0.004054070836724584,0.0010836334563345633
52,BELGIUM,2015.0,0.0026689368443098887,0.4915254237288136,0.0009431214194136622,0.0037642618979678044,0.004422423581657285,0.0009627412874128742
53,BELGIUM,2016.0,0.0026295603938769853,0.8135593220338984,0.0008836850390972852,0.003674789032099564,0.004494945184241275,0.0009986879868798687
54,BELGIUM,2017.0,0.0026167411902886773,0.4915254237288136,0.0008680458271174554,0.003613187617793379,0.004580594165702734,0.0009394870848708487
55,BELGIUM,2018.0,0.0026368959549913852,0.8135593220338984,0.0008719555968926244,0.0035630312701280874,0.004720237979199979,0.0010391074210742107
56,BELGIUM,2019.0,0.002625002575881425,0.711864406779661,0.000860347871992637,0.0035248841534339563,0.00473344839144253,0.0011559270192701928
57,BELGIUM,2020.0,0.002380544703743442,0.7288135593220338,0.0006915278307189181,0.0030594904639270446,0.004688627634777932,0.0010800647806478065
58,BELARUS,1991.0,0.0027501098875784605,0.423728813559322,0.0006397389778885785,0.005088883128221639,0.003319273675882788,0.00038818860188601887
59,BELARUS,1992.0,0.08062547018252186,0.8813559322033898,0.16282726426533134,0.0037252547628173096,0.0043269152053500085,0.06064771547656981
60,BELARUS,1993.0,0.002116087566580646,0.4406779661016949,0.000492966644413231,0.003055660400571734,0.003929343476909587,0.00035015908159081587
61,BELARUS,1994.0,0.0017740633551799902,0.423728813559322,0.00040319687667740876,0.002499224084681419,0.0034998732063516256,0.00025819762197621976
62,BELARUS,1995.0,0.0015859924278089903,0.3389830508474576,0.0003751494757764647,0.0994307237536166,0.003182777415347527,0.00023067281672816726
63,BELARUS,1996.0,0.0016083530441686148,0.8813559322033898,0.00037208720924278727,0.002088384535032919,0.0034298488812578923,0.0002612009020090201
64,BELARUS,1997.0,0.0016044057093864642,0.2542372881355932,0.00031808100197676706,0.0017819903221538201,0.003950669583331256,0.00033841369413694137
65,BELARUS,1998.0,0.0015635494769858532,0.22033898305084745,0.0003012345828867221,0.0017245939735988113,0.003869874588555096,0.000374680196801968
66,BELARUS,1999.0,0.0015067017504816998,0.5423728813559322,0.17106577178688664,0.0015466092817029327,0.08266541576498429,0.7687576875768758
67,BELARUS,2000.0,0.0014241913452591158,0.7457627118644068,0.00026278281070055197,0.0012538053209135316,0.004097679829303821,0.00035338622386223866
68,BELARUS,2001.0,0.001399838844367865,0.7288135593220338,0.00023199590672996043,0.001191445962685179,0.004138364216775345,0.00033709102091020914
69,BELARUS,2002.0,0.001395555240858056,0.05084745762711865,0.0001982821400831828,0.0011663364373884588,0.004184230801556347,0.00040244854448544487
70,BELARUS,2003.0,0.0014290996982552456,0.9322033898305084,0.0001925916567709756,0.0011189729623949027,0.004393553599805313,0.0004771783517835178
